index X Y Z current baseline
1 -7.95 -7.95 -10.75 30 0.000258998
2 -7.95 -2.511 -10.75 30 0.000265247
3 -7.95 2.511 -10.75 30 0.00026579
4 -7.95 7.95 -10.75 30 0.000262959
5 -2.511 -7.95 -10.75 30 0.000270351
6 -2.511 -2.511 -10.75 30 0.000274371
7 -2.511 2.511 -10.75 30 0.000268412
8 -2.511 7.95 -10.75 30 0.000265345
9 2.511 -7.95 -10.75 30 0.000277114
10 2.511 -2.511 -10.75 30 0.000279271
11 2.511 2.511 -10.75 30 0.000272067
12 2.511 7.95 -10.75 30 0.000266365
13 7.95 -7.95 -10.75 30 0.000269727
14 7.95 -2.511 -10.75 30 0.000279761
15 7.95 2.511 -10.75 30 0.000265255
16 7.95 7.95 -10.75 30 0.000268476
17 -7.95 7.95 10.75 30 0.000266984
18 -7.95 2.511 10.75 30 0.000273369
19 -7.95 -2.511 10.75 30 0.000271706
20 -7.95 -7.95 10.75 30 0.00027869
21 -2.511 7.95 10.75 30 0.000269108
22 -2.511 2.511 10.75 30 0.000272055
23 -2.511 -2.511 10.75 30 0.000276212
24 -2.511 -7.95 10.75 30 0.000273598
25 2.511 7.95 10.75 30 0.000274316
26 2.511 2.511 10.75 30 0.000279129
27 2.511 -2.511 10.75 30 0.000274908
28 2.511 -7.95 10.75 30 0.00027451
29 7.95 7.95 10.75 30 0.000281284
30 7.95 2.511 10.75 30 0.000282355
31 7.95 -2.511 10.75 30 0.00027791
32 7.95 -7.95 10.75 30 0.000280939
33 -7.95 -7.95 -10.75 50 0.000400722
34 -7.95 -2.511 -10.75 50 0.000411508
35 -7.95 2.511 -10.75 50 0.000404567
36 -7.95 7.95 -10.75 50 0.000373908
37 -2.511 -7.95 -10.75 50 0.000408692
38 -2.511 -2.511 -10.75 50 0.000422865
39 -2.511 2.511 -10.75 50 0.000406076
40 -2.511 7.95 -10.75 50 0.000379543
41 2.511 -7.95 -10.75 50 0.000414014
42 2.511 -2.511 -10.75 50 0.000420398
43 2.511 2.511 -10.75 50 0.000405284
44 2.511 7.95 -10.75 50 0.000381147
45 7.95 -7.95 -10.75 50 0.000398512
46 7.95 -2.511 -10.75 50 0.000402849
47 7.95 2.511 -10.75 50 0.000400845
48 7.95 7.95 -10.75 50 0.000378255
49 -7.95 7.95 10.75 50 0.000354135
50 -7.95 2.511 10.75 50 0.0003578
51 -7.95 -2.511 10.75 50 0.000347667
52 -7.95 -7.95 10.75 50 0.00036069
53 -2.511 7.95 10.75 50 0.000358292
54 -2.511 2.511 10.75 50 0.000355614
55 -2.511 -2.511 10.75 50 0.000359486
56 -2.511 -7.95 10.75 50 0.000350757
57 2.511 7.95 10.75 50 0.000343802
58 2.511 2.511 10.75 50 0.000350031
59 2.511 -2.511 10.75 50 0.000355469
60 2.511 -7.95 10.75 50 0.000355678
61 7.95 7.95 10.75 50 0.000342955
62 7.95 2.511 10.75 50 0.000358522
63 7.95 -2.511 10.75 50 0.000354592
64 7.95 -7.95 10.75 50 0.000351337
65 -7.95 -7.95 -10.75 60 0.000399533
66 -7.95 -2.511 -10.75 60 0.000423214
67 -7.95 2.511 -10.75 60 0.000411745
68 -7.95 7.95 -10.75 60 0.000374124
69 -2.511 -7.95 -10.75 60 0.000420071
70 -2.511 -2.511 -10.75 60 0.000434198
71 -2.511 2.511 -10.75 60 0.000422569
72 -2.511 7.95 -10.75 60 0.000382688
73 2.511 -7.95 -10.75 60 0.000404451
74 2.511 -2.511 -10.75 60 0.000408039
75 2.511 2.511 -10.75 60 0.000392137
76 2.511 7.95 -10.75 60 0.000376145
77 7.95 -7.95 -10.75 60 0.000385743
78 7.95 -2.511 -10.75 60 0.00040368
79 7.95 2.511 -10.75 60 0.00040051
80 7.95 7.95 -10.75 60 0.000361159
81 -7.95 7.95 10.75 60 0.000340761
82 -7.95 2.511 10.75 60 0.000339416
83 -7.95 -2.511 10.75 60 0.000339214
84 -7.95 -7.95 10.75 60 0.000337673
85 -2.511 7.95 10.75 60 0.00034769
86 -2.511 2.511 10.75 60 0.000341939
87 -2.511 -2.511 10.75 60 0.000332173
88 -2.511 -7.95 10.75 60 0.000336859
89 2.511 7.95 10.75 60 0.000340045
90 2.511 2.511 10.75 60 0.000344114
91 2.511 -2.511 10.75 60 0.000341576
92 2.511 -7.95 10.75 60 0.000337494
93 7.95 7.95 10.75 60 0.000338712
94 7.95 2.511 10.75 60 0.000336024
95 7.95 -2.511 10.75 60 0.000342524
96 7.95 -7.95 10.75 60 0.000345161
97 -7.95 -7.95 -10.75 80 0.000379212
98 -7.95 -2.511 -10.75 80 0.000372453
99 -7.95 2.511 -10.75 80 0.000370733
100 -7.95 7.95 -10.75 80 0.00036469
101 -2.511 -7.95 -10.75 80 0.000391278
102 -2.511 -2.511 -10.75 80 0.000423549
103 -2.511 2.511 -10.75 80 0.000404592
104 -2.511 7.95 -10.75 80 0.0003723
105 2.511 -7.95 -10.75 80 0.000409441
106 2.511 -2.511 -10.75 80 0.00041002
107 2.511 2.511 -10.75 80 0.000379139
108 2.511 7.95 -10.75 80 0.000356065
109 7.95 -7.95 -10.75 80 0.000379843
110 7.95 -2.511 -10.75 80 0.000379757
111 7.95 2.511 -10.75 80 0.000373386
112 7.95 7.95 -10.75 80 0.00037349
113 -7.95 7.95 10.75 80 0.000320494
114 -7.95 2.511 10.75 80 0.000333363
115 -7.95 -2.511 10.75 80 0.000329814
116 -7.95 -7.95 10.75 80 0.000322851
117 -2.511 7.95 10.75 80 0.000338233
118 -2.511 2.511 10.75 80 0.000333641
119 -2.511 -2.511 10.75 80 0.000333565
120 -2.511 -7.95 10.75 80 0.000323716
121 2.511 7.95 10.75 80 0.000337429
122 2.511 2.511 10.75 80 0.000336767
123 2.511 -2.511 10.75 80 0.00033181
124 2.511 -7.95 10.75 80 0.000331643
125 7.95 7.95 10.75 80 0.000330198
126 7.95 2.511 10.75 80 0.000328127
127 7.95 -2.511 10.75 80 0.000307278
128 7.95 -7.95 10.75 80 0.000298684
